# .test .cputime .temperature .time_mat1 .time_mat2
1 0.000810  0.000 0.000010 0.000002
2 0.001521  0.000 0.000002 0.000001
3 0.002611  0.000 0.000016 0.000002
4 0.003405  0.000 0.000003 0.000002
5 0.004281  0.000 0.000015 0.000002
6 0.004998 -0.487 0.000014 0.000002
7 0.005886 -0.487 0.000018 0.000003
8 0.006666 -0.487 0.000017 0.000003
9 0.007434 -0.487 0.000054 0.000004
10 0.008249 -0.487 0.000017 0.000005
11 0.009124 -0.487 0.000020 0.000006
12 0.009898 -0.487 0.000017 0.000007
13 0.010570 -0.487 0.000020 0.000008
14 0.011284 -1.461 0.000019 0.000009
15 0.012017 -1.461 0.000024 0.000010
16 0.012841  0.000 0.000021 0.000011
17 0.013644 -0.487 0.000023 0.000012
18 0.014629 -0.487 0.000029 0.000014
19 0.015308 -0.974 0.000025 0.000016
20 0.016015 -0.487 0.000031 0.000018
21 0.016730 -0.487 0.000029 0.000019
22 0.017584  0.000 0.000031 0.000021
23 0.018347 -0.487 0.000032 0.000023
24 0.019186 -0.487 0.000035 0.000025
25 0.019898  0.000 0.000035 0.000028
26 0.020688  0.000 0.000039 0.000029
27 0.021441  0.974 0.000040 0.000032
28 0.022181 -0.974 0.000043 0.000034
29 0.023115 -0.487 0.000043 0.000036
30 0.023848 -0.974 0.000046 0.000039
31 0.024570  0.974 0.000036 0.000041
32 0.025374  0.000 0.000056 0.000042
33 0.025877 -0.974 0.000038 0.000046
34 0.026769  0.974 0.000054 0.000046
35 0.027580  0.000 0.000042 0.000050
36 0.028250  0.974 0.000059 0.000053
37 0.028867 -0.487 0.000046 0.000056
38 0.029928  0.487 0.000066 0.000059
39 0.030501  0.000 0.000052 0.000061
40 0.031543  0.000 0.000073 0.000066
41 0.032162  0.000 0.000056 0.000068
42 0.033016  0.487 0.000076 0.000071
43 0.033593  0.000 0.000063 0.000076
44 0.034289  0.000 0.000085 0.000079
45 0.035273  0.974 0.000068 0.000083
46 0.036131  0.000 0.000087 0.000086
47 0.036638  0.487 0.000073 0.000147
48 0.037617  0.487 0.000095 0.000094
49 0.038190  0.487 0.000080 0.000096
50 0.039031  0.000 0.000103 0.000150
51 0.039831  0.487 0.000088 0.000104
52 0.040585  0.000 0.000114 0.000109
53 0.041949  0.487 0.000099 0.000113
54 0.042069  1.461 0.000116 0.000117
55 0.043276  0.487 0.000103 0.000123
56 0.044370  0.487 0.000132 0.000126
57 0.044902  0.000 0.000114 0.000130
58 0.045711  1.461 0.000137 0.000134
59 0.046419  0.000 0.000135 0.000138
60 0.047323  0.000 0.000141 0.000142
61 0.047648  0.974 0.000145 0.000148
62 0.048667  0.487 0.000145 0.000152
63 0.049510  0.487 0.000154 0.000161
64 0.050717  0.974 0.000157 0.000210
65 0.051298  0.487 0.000158 0.000228
66 0.052005  0.000 0.000168 0.000169
67 0.052969  0.000 0.000163 0.000179
68 0.053883  0.974 0.000178 0.000180
69 0.054479  0.974 0.000176 0.000189
70 0.055656  1.461 0.000181 0.000190
71 0.056171  0.974 0.000185 0.000199
72 0.056820  1.461 0.000192 0.000201
73 0.057792  1.948 0.000201 0.000205
74 0.058544  1.461 0.000196 0.000212
75 0.059409  0.974 0.000204 0.000221
76 0.060019  1.461 0.000211 0.000228
77 0.061075  1.461 0.000217 0.000229
78 0.061491  0.487 0.000220 0.000240
79 0.062337  1.461 0.000227 0.000245
80 0.063552  1.948 0.000230 0.000252
81 0.063536  0.974 0.000301 0.000253
82 0.064663  0.974 0.000224 0.000264
83 0.065287  1.948 0.000252 0.000266
84 0.065874  1.461 0.000235 0.000278
85 0.066620  0.974 0.000266 0.000280
86 0.067966  2.922 0.000245 0.000293
87 0.068489  1.461 0.000273 0.000294
88 0.069415  0.974 0.000258 0.000305
89 0.070760  0.487 0.000289 0.000307
90 0.071254  1.948 0.000268 0.000320
91 0.072099  0.974 0.000299 0.000321
92 0.072622  0.487 0.000282 0.000395
93 0.073045  0.487 0.000311 0.000335
94 0.074071  0.974 0.000294 0.000349
95 0.074672  1.948 0.000382 0.000349
96 0.075666  1.948 0.000307 0.000363
97 0.076373  1.461 0.000336 0.000366
98 0.078039  1.461 0.000318 0.000379
99 0.077983  1.948 0.000389 0.000381
